topic_id	title	classification	level	level_name	domain	category	concept	topic	subtopic	learning_element	full_path	parent_path	topic_level	topic_domain	prerequisites_count	prerequisites	prerequisite_types	avg_prerequisite_confidence	standards_count	mapped_standards	mcat_mapped	ib_mapped	a_level_mapped	igcse_mapped	avg_standards_confidence	bloom_levels	difficulty_levels	application_domains
core → General Physics	General Physics	core	1	Domain	General Physics						core → General Physics	core	1		0			0	0		False	False	False	False	0			
core → General Physics → College Physics For Ap® Courses 2E	College Physics For Ap® Courses 2E	core	2	Category	General Physics	College Physics For Ap® Courses 2E					core → General Physics → College Physics For Ap® Courses 2E	core → General Physics	2		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics	Introduction: The Nature Of Science And Physics	core	2	Category	General Physics	Introduction: The Nature Of Science And Physics					core → General Physics → Introduction: The Nature Of Science And Physics	core → General Physics	2		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → AP Physics Course Preparation	AP Physics Course Preparation	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	AP Physics Course Preparation				core → General Physics → Introduction: The Nature Of Science And Physics → AP Physics Course Preparation	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Learning Objectives	Learning Objectives	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Learning Objectives				core → General Physics → Introduction: The Nature Of Science And Physics → Learning Objectives	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Science And The Realm Of Physics	Science And The Realm Of Physics	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Science And The Realm Of Physics				core → General Physics → Introduction: The Nature Of Science And Physics → Science And The Realm Of Physics	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Applications of Physics	Applications of Physics	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Applications of Physics				core → General Physics → Introduction: The Nature Of Science And Physics → Applications of Physics	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Models, Theories, And Laws; The Role Of Experimentation	Models, Theories, And Laws; The Role Of Experimentation	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Models, Theories, And Laws; The Role Of Experimentation				core → General Physics → Introduction: The Nature Of Science And Physics → Models, Theories, And Laws; The Role Of Experimentation	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → The Evolution Of Natural Philosophy Into Modern Physics	The Evolution Of Natural Philosophy Into Modern Physics	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	The Evolution Of Natural Philosophy Into Modern Physics				core → General Physics → Introduction: The Nature Of Science And Physics → The Evolution Of Natural Philosophy Into Modern Physics	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Summary	Summary	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Summary				core → General Physics → Introduction: The Nature Of Science And Physics → Summary	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
