Topic	Subtopic	Description	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	Pedagogical_Order	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books	Extraction_Strategy
Equations	Equations	Representing Acceleration with Equations and Graphs m54116 Representing Acceleration with Equations and Graphs e83ad5af-9be3-4288-93db-960ddd87f11e Section Learning Objectives By the end of this secti	high_school	1	physics	2	4	Core	1	No	Algebra	Learning Objectives By the end of this section, you will be able to do the following: Explain the kinematic equations related to acceleration and illustrate them with graphs Apply the kinematic equations and related graphs to problems involving acceleration Teacher Support The Learning Objectives in this section will help your students master...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Motion: Inertia Newton's First Law of Motion: Inertia Section Learning Objectives By the end of this section	Motion: Inertia Newton's First Law of Motion: Inertia Section Learning Objectives By the end of this section	Newton's First Law of Motion: Inertia m54138 Newton's First Law of Motion: Inertia 02d55ef3-d7de-4f63-a118-6d4d18bd73b0 Section Learning Objectives By the end of this section, you will be able to do t	high_school	1	physics	2	4	Core	2	No		Learning Objectives By the end of this section, you will be able to do the following: Describe Newton’s first law and friction, and Discuss the relationship between mass and inertia. Teacher Support The learning objectives in this section will help students master the following standards: (4) Science concepts. The student knows and applies the laws governing motion in a...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Motion Newton's Second Law of Motion Section Learning Objectives By the end of this section	Motion Newton's Second Law of Motion Section Learning Objectives By the end of this section	Newton's Second Law of Motion m54142 Newton's Second Law of Motion 07ba477b-5df7-41a9-bce0-bc44ceab356a Section Learning Objectives By the end of this section, you will be able to do the following: De	high_school	1	physics	2	4	Core	3	No		Learning Objectives By the end of this section, you will be able to do the following: Describe Newton’s second law, both verbally and mathematically Use Newton’s second law to solve problems Teacher Support The learning objectives in this section will help students master the following standards: (4) Science concepts. The student knows and applies the laws governing motion in a variety...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Motion Newton's Third Law of Motion Section Learning Objectives By the end of this section	Motion Newton's Third Law of Motion Section Learning Objectives By the end of this section	Newton's Third Law of Motion m54131 Newton's Third Law of Motion bd5b0c24-7512-4a08-9e41-8596a670a97f Section Learning Objectives By the end of this section, you will be able to do the following: Desc	high_school	1	physics	2	4	Core	4	No		Learning Objectives By the end of this section, you will be able to do the following: Describe Newton’s third law, both verbally and mathematically Use Newton’s third law to solve problems Teacher Support The learning objectives in this section will help your students master the following standards: (4) Science concepts. The student knows and applies the laws governing motion in a variet...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Rotational Motion	Rotational Motion	Angle of Rotation and Angular Velocity m54176 Angle of Rotation and Angular Velocity 541ebd77-2d9a-43ee-9d52-40c4d4261f6f Section Learning Objectives By the end of this section, you will be able to do	high_school	1	physics	2	4	Core	5	No	Forces; Linear motion	Learning Objectives By the end of this section, you will be able to do the following: Describe the angle of rotation and relate it to its linear counterpart Describe angular velocity and relate it to its linear counterpart Solve problems involving angle of rotation and angular velocity Teacher Support The learning objectives in this section will help your students mas...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Planetary Science	Planetary Science	Kepler's Laws of Planetary Motion m54192 Kepler's Laws of Planetary Motion 7825821d-3e4b-4384-b98b-d44d40c0c41b Section Learning Objectives By the end of this section, you will be able to do the follo	high_school	1	physics	2	4	Core	6	No		Learning Objectives By the end of this section, you will be able to do the following: Explain Kepler’s three laws of planetary motion Apply Kepler’s laws to calculate characteristics of orbits Teacher Support The learning objectives in this section will help your students master the following standards: (4) Science concepts. The student knows and applies the laws governing moti...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Conservation of momentum verbally and mathematically teacher support the learning objectives in this section will help your students master the following standards: (6) science concepts	Conservation of momentum verbally and mathematically teacher support the learning objectives in this section will help your students master the following standards: (6) science concepts	Conservation of Momentum m54202 Conservation of Momentum d22f87ef-eae4-4e96-8335-4c506092eb93 Section Learning Objectives By the end of this section, you will be able to do the following: Describe the	high_school	1	physics	2	4	Core	7	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to do the following: Describe the law of conservation of momentum verbally and mathematically Teacher Support The learning objectives in this section will help your students master the following standards: (6) Science concepts. The student knows that changes occur within a physical system and applies the laws of conservation of ene...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Conservation of momentum teacher support the learning objectives in this section will help your students master the following standards: (6) science concepts	Conservation of momentum teacher support the learning objectives in this section will help your students master the following standards: (6) science concepts	Elastic and Inelastic Collisions m54209 Elastic and Inelastic Collisions ce41ca24-b8e9-4652-89c5-969fd2780918 Section Learning Objectives By the end of this section, you will be able to do the followi	high_school	1	physics	2	4	Core	8	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to do the following: Distinguish between elastic and inelastic collisions Solve collision problems by applying the law of conservation of momentum Teacher Support The learning objectives in this section will help your students master the following standards: (6) Science concepts. The student knows that changes occur...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Conservation of energy in terms of kinetic and potential energy perform calculations related to kinetic and potential energy	Conservation of energy in terms of kinetic and potential energy perform calculations related to kinetic and potential energy	Mechanical Energy and Conservation of Energy m54273 Mechanical Energy and Conservation of Energy b49b2df4-86b3-44a0-8da2-39b1be006cb7 Section Learning Objectives By the end of this section, you will b	high_school	1	physics	2	4	Core	9	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to do the following: Explain the law of conservation of energy in terms of kinetic and potential energy Perform calculations related to kinetic and potential energy. Apply the law of conservation of energy Teacher Support The learning objectives in this section will help your students master ...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Relativity	Relativity	Introduction m54277 Introduction a19303c8-a34a-42f0-824c-9d2b789de384 Special relativity explains why travel to other star systems, such as these in the Orion Nebula, is unlikely using our current lev	high_school	1	physics	3	4	Core	10	No	Electromagnetism; Classical mechanics	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	Physics	content_processing
Relativity understand the postulates on which the special theory of relativity was based teacher support the learning objectives in this section will help your students master the following	Relativity understand the postulates on which the special theory of relativity was based teacher support the learning objectives in this section will help your students master the following	Postulates of Special Relativity m54280 Postulates of Special Relativity 9b86596d-b640-4477-a517-3108627f5fba Section Learning Objectives By the end of this section, you will be able to do the followi	high_school	1	physics	3	4	Core	11	No	Electromagnetism; Classical mechanics	Learning Objectives By the end of this section, you will be able to do the following: Describe the experiments and scientific problems that led Albert Einstein to develop the special theory of relativity Understand the postulates on which the special theory of relativity was based Teacher Support The learning objectives in this section will help your students master the following...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Thermodynamics: Thermal Equilibrium Zeroth Law of Thermodynamics: Thermal Equilibrium Section Learning Objectives By the end of this section	Thermodynamics: Thermal Equilibrium Zeroth Law of Thermodynamics: Thermal Equilibrium Section Learning Objectives By the end of this section	Zeroth Law of Thermodynamics: Thermal Equilibrium m54302 Zeroth Law of Thermodynamics: Thermal Equilibrium cae3efc8-440a-4f61-a12e-aa4c7c9cc20a Section Learning Objectives By the end of this section, 	high_school	1	physics	3	4	Core	12	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to do the following: Explain the zeroth law of thermodynamics Teacher Support The learning objectives in this section will help your students master the following standards: (6) Science concepts. The student knows that changes occur within a physical system and applies the laws of c...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Thermodynamics: Thermal Energy and Work First law of Thermodynamics: Thermal Energy and Work Section Learning Objectives By the end of this section	Thermodynamics: Thermal Energy and Work First law of Thermodynamics: Thermal Energy and Work Section Learning Objectives By the end of this section	First law of Thermodynamics: Thermal Energy and Work m54305 First law of Thermodynamics: Thermal Energy and Work ab7ddcd9-932d-4ff8-b77a-eb9b24dfef39 Section Learning Objectives By the end of this sec	high_school	1	physics	3	4	Core	13	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to do the following: Describe how pressure, volume, and temperature relate to one another and to work, based on the ideal gas law Describe pressure–volume work Describe the first law of thermodynamics verbally and mathematically Solve problems involving the first law of thermo...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Thermodynamics: Entropy Second Law of Thermodynamics: Entropy Section Learning Objectives By the end of this section	Thermodynamics: Entropy Second Law of Thermodynamics: Entropy Section Learning Objectives By the end of this section	Second Law of Thermodynamics: Entropy m54306 Second Law of Thermodynamics: Entropy e5983fe2-b735-4109-a184-3c3e328e624b Section Learning Objectives By the end of this section, you will be able to do t	high_school	1	physics	3	4	Core	14	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to do the following: Describe entropy Describe the second law of thermodynamics Solve problems involving the second law of thermodynamics Teacher Support The learning objectives in this section will help your students master the following standards: (6) Science concepts. The student knows that changes occu...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Sound and Acoustics	Sound and Acoustics	Sound Interference and Resonance m54335 Sound Interference and Resonance f7e87217-8219-4ad2-b485-a5ba056170ff Section Learning Objectives By the end of this section, you will be able to do the followi	high_school	1	physics	2	4	Core	15	Yes	Waves	Learning Objectives By the end of this section, you will be able to do the following: Describe resonance and beats Define fundamental frequency and harmonic series Contrast an openpipe and closedpipe resonator Solve problems involving harmonic series and beat frequency Teacher Support The learning objectives in this section will help your students master the following standards...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Light and Optics	Light and Optics	Introduction m54366 Introduction f37f9ec8-dc9c-4daa-bfab-6a167875a966 Flat, smooth surfaces reflect light to form mirror images.	high_school	1	physics	2	4	Core	16	Yes	Electromagnetism; Waves	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	Physics	content_processing
