Topic	Subtopic	Description	Objectives	Duration (hours)	Difficulty	Level	Core/Elective	MCAT Relevant	Pedagogical Order	Prerequisites
Astrophysics	Astrobiology	Study of the potential for life beyond Earth, including the search for habitable exoplanets and the conditions necessary for life.	Understand the conditions necessary for life to exist; Describe the methods used to search for exoplanets; Discuss the implications of discovering extraterrestrial life; Explain the interdisciplinary nature of astrobiology	4	4	undergraduate	elective	No	50	Introduction to Astrophysics; Cosmology
Astrophysics	Astrophysical Cosmology	Study of the large-scale structure and evolution of the universe, including the cosmic microwave background, dark matter, and dark energy.	Understand the Friedmann equations; Explain the role of dark matter and dark energy in cosmology; Describe the formation of large-scale structures in the universe; Discuss the implications of cosmic microwave background radiation	4	4	graduate	core	No	50	Cosmology
Astrophysics	Astrophysical Data Analysis	Application of statistical and computational methods to analyze and interpret observational data in astrophysics.	Apply advanced statistical methods to analyze astrophysical data; Use computational tools to model astrophysical phenomena; Interpret observational data in the context of theoretical models; Discuss the challenges and limitations of astrophysical data analysis	4	4	graduate	core	No	50	Astrostatistics; Computational Astrophysics
Astrophysics	Astrophysical Fluid Dynamics	Study of the behavior of fluids in astrophysical contexts, including accretion disks, stellar atmospheres, and interstellar medium.	Understand the basic principles of fluid dynamics; Apply fluid dynamics to astrophysical systems; Describe the role of fluid dynamics in star formation; Discuss the applications of fluid dynamics in astrophysics	4	4	undergraduate	elective	No	50	Fluid Mechanics
Astrophysics	Astrophysical High-Energy Phenomena	Study of extreme astrophysical phenomena involving high-energy particles and radiation, such as pulsars, black hole accretion disks, and active galactic nuclei.	Understand the physics of high-energy astrophysical phenomena; Describe the properties of pulsars and their emission mechanisms; Explain the processes in black hole accretion disks; Discuss the role of high-energy phenomena in galaxy evolution	4	4	graduate	elective	No	50	Introduction to Astrophysics; High-Energy Astrophysics; Black Holes
Astrophysics	Astrophysical Magnetohydrodynamics	Study of the behavior of magnetized fluids in astrophysical environments, including the generation of magnetic fields and their effects.	Understand the principles of magnetohydrodynamics; Describe the generation of magnetic fields in astrophysical systems; Explain the role of magnetic fields in star formation; Discuss the applications of magnetohydrodynamics in astrophysics	4	4	graduate	elective	No	50	Astrophysical Fluid Dynamics; Magnetic Field; Plasma Physics
Astrophysics	Astrophysical Plasma Physics	Study of the behavior of ionized gases in astrophysical environments, including plasma instabilities, magnetic reconnection, and particle acceleration.	Understand the properties of astrophysical plasmas; Describe plasma instabilities and their effects; Explain the process of magnetic reconnection in plasmas; Discuss the role of plasma physics in astrophysical phenomena	4	4	graduate	elective	No	50	Plasma Physics
Astrophysics	Astrophysical Radiative Processes	Study of the interaction of radiation with matter in astrophysical environments, including emission, absorption, and scattering processes.	Understand the basics of radiative transfer; Describe the processes of emission and absorption of radiation; Explain the role of radiative processes in shaping astrophysical spectra; Discuss the applications of radiative processes in astrophysics	4	4	graduate	elective	No	50	Introduction to Astrophysics; Astrophysical Plasma Physics
Astrophysics	Astrostatistics	Application of statistical methods to analyze and interpret data in astrophysics.	Understand the basics of probability theory; Apply statistical methods to analyze astronomical data; Interpret statistical results in the context of astrophysical phenomena; Discuss the importance of astrostatistics in modern astrophysics	4	4	undergraduate	core	No	50	Introduction to Astrophysics; Astrophysical Data Analysis; Statistical Mechanics
Astrophysics	Black Holes	Study of black holes, their formation, properties, and effects on surrounding matter and spacetime.	Define black holes and their characteristics; Explain the concept of event horizon; Understand the different types of black holes; Describe the effects of black holes on nearby objects	3	4	high_school	core	No	50	Introduction to Astrophysics; Gravitation
Astrophysics	Cosmology	Study of the origin, evolution, and eventual fate of the universe.	Understand the Big Bang theory; Explain the expansion of the universe; Describe the cosmic microwave background radiation; Discuss the concept of dark energy and dark matter	3	4	high_school	core	No	50	Introduction to Astrophysics; Gravitation; Quantum Mechanics; Special Relativity
Astrophysics	Galactic Structure	Study of the structure and components of galaxies, including spiral, elliptical, and irregular galaxies.	Describe the structure of the Milky Way galaxy; Differentiate between types of galaxies; Explain the formation and evolution of galaxies; Understand the role of dark matter in galactic structure	3	4	high_school	core	No	50	
Astrophysics	Gravitational Lensing	Study of the bending of light by gravitational fields, leading to the formation of multiple images of distant objects.	Understand the concept of gravitational lensing; Explain how gravitational lensing can be used to study dark matter; Describe the formation of Einstein rings; Discuss the applications of gravitational lensing in astrophysics	4	4	undergraduate	core	No	50	Gravitation; Cosmology
Astrophysics	High-Energy Astrophysics	Study of astrophysical phenomena involving high-energy processes, such as supernovae, gamma-ray bursts, and quasars.	Understand the sources of high-energy radiation in the universe; Explain the processes leading to supernovae and gamma-ray bursts; Describe the properties of quasars; Discuss the role of high-energy astrophysics in understanding the universe	4	4	undergraduate	core	No	50	Astrophysical High-Energy Phenomena
Astrophysics	Introduction to Astrophysics	An overview of astrophysics, including the study of celestial objects, galaxies, stars, and cosmology.	Define astrophysics and its scope; Identify key celestial objects studied in astrophysics; Understand the basic principles of cosmology; Explain the importance of astrophysics in understanding the universe	2	4	high_school	core	No	50	
Astrophysics	Stellar Classification	Classification of stars based on their spectral characteristics, luminosity, and temperature.	Understand the Hertzsprung-Russell diagram; Classify stars based on spectral type; Explain the relationship between temperature, luminosity, and size of stars; Identify different types of stars	3	4	high_school	core	No	50	Introduction to Astrophysics; Stellar Evolution
Astrophysics	Stellar Evolution	Study of the life cycle of stars, from their formation to their eventual death.	Describe the formation of stars; Explain the processes involved in stellar evolution; Identify the different stages in the life cycle of stars; Understand the fate of stars based on their mass	4	4	undergraduate	core	No	50	Introduction to Astrophysics; Stellar Classification
Biophysics	Biological Membranes	Study of the structure and function of biological membranes, including lipid bilayers, membrane proteins, and transport mechanisms.	Identify the components of a biological membrane.; Explain the role of membrane proteins in cellular function.; Describe different mechanisms of molecule transport across membranes.	3	3	undergraduate	core	No	50	Cellular Energetics; Protein Structure and Function
Biophysics	Biomechanics	Application of mechanical principles to biological systems, including muscle mechanics, bone structure, and movement analysis.	Analyze forces involved in muscle contraction.; Explain the mechanical properties of bones and joints.; Apply biomechanical principles to human movement.	5	3	undergraduate	core	No	50	Classical Mechanics; Motion in One Dimension; Motion in Two Dimensions; Newton's Laws of Motion; Work and Energy
Biophysics	Cellular Energetics	Exploration of energy transfer processes in cells, including ATP production, metabolic pathways, and thermodynamics of cellular processes.	Describe the role of ATP in cellular energy transfer.; Explain key metabolic pathways such as glycolysis and the citric acid cycle.; Apply thermodynamic principles to cellular processes.	5	3	undergraduate	core	No	50	Biological Membranes; Enzyme Kinetics
Biophysics	Enzyme Kinetics	Study of enzyme-catalyzed reactions, including Michaelis-Menten kinetics, enzyme inhibition, and factors affecting enzyme activity.	Define key parameters in enzyme kinetics such as Km and Vmax.; Analyze enzyme inhibition mechanisms.; Explain the effects of temperature and pH on enzyme activity.	4	3	undergraduate	core	No	50	Biological Membranes; Cellular Energetics
Biophysics	Molecular Dynamics Simulations	Computational methods for studying the dynamics of biomolecular systems at the atomic level.	Understand the principles of molecular dynamics simulations.; Analyze simulation trajectories to study biomolecular interactions.; Interpret simulation results to gain insights into biological processes.	6	3	graduate	elective	No	50	Computational Physics
Biophysics	Protein Structure and Function	Investigation of the structure and function of proteins, including primary, secondary, tertiary, and quaternary structures.	Differentiate between primary, secondary, tertiary, and quaternary protein structures.; Explain the relationship between protein structure and function.; Analyze the role of proteins in biological processes.	4	3	undergraduate	core	No	50	Biological Membranes; Enzyme Kinetics; Molecular Dynamics Simulations
Classical Mechanics	Advanced Topics in Classical Mechanics	Studying specialized topics in classical mechanics such as Hamilton-Jacobi theory, canonical transformations, and integrable systems.	Understand Hamilton-Jacobi theory and action-angle variables; Analyze canonical transformations and Poisson brackets; Study integrable systems and Liouville's theorem	6	1	graduate	core	No	50	Lagrangian Mechanics; Hamiltonian Mechanics
