Pedagogical_Order	Topic	Subtopic	Description	Chapter	Section	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books
1	What is Physics? (Introductory)	What is Physics? (Introductory)	Comprehensive study of what is physics? concepts	What is Physics?		high_school	1	units_measurement	1	5	Core	No		Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving	osbooks-physics
2	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within what is physics?	What is Physics?	Section 1	high_school	2	units_measurement	1	2	Core	No	osbooks-physics_root_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving	osbooks-physics
3	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within what is physics?	What is Physics?	Section 2	high_school	2	units_measurement	1	2	Core	No	osbooks-physics_root_0_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving	osbooks-physics
4	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within what is physics?	What is Physics?	Section 3	high_school	2	units_measurement	1	2	Core	No	osbooks-physics_root_0_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving	osbooks-physics
5	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within what is physics?	What is Physics?	Section 4	high_school	2	units_measurement	1	2	Core	No	osbooks-physics_root_0_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving	osbooks-physics
7	Introduction: The Nature of Science and Physics (Intermediate)	Introduction: The Nature of Science and Physics (Intermediate)	Comprehensive study of introduction: the nature of science and physics concepts	Introduction: The Nature of Science and Physics		undergraduate	2	units_measurement	2	5	Core	No	osbooks-college-physics-bundle_root_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
7	Introduction: The Nature of Science and Physics (Intermediate)	Introduction: The Nature of Science and Physics (Intermediate)	Comprehensive study of introduction: the nature of science and physics concepts	Introduction: The Nature of Science and Physics		undergraduate	2	units_measurement	2	5	Core	No	osbooks-college-physics-bundle_root_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
9	Introduction: The Nature of Science and Physics (Intermediate)	Introduction: The Nature of Science and Physics (Intermediate)	Comprehensive study of introduction: the nature of science and physics concepts	Introduction: The Nature of Science and Physics		undergraduate	2	units_measurement	2	5	Core	No	osbooks-college-physics_root_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
9	Introduction: The Nature of Science and Physics (Intermediate)	Introduction: The Nature of Science and Physics (Intermediate)	Comprehensive study of introduction: the nature of science and physics concepts	Introduction: The Nature of Science and Physics		undergraduate	2	units_measurement	2	5	Core	No	osbooks-college-physics_root_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
11	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
